twitter,ADE_or_not
Nigga + paxil =  Nigga please .....,0
"@Gingersquirrel ...could mean I'm going high again. But I have extra quetiapine I can take, just in case.",0
"sCTX & P1NP thru Yr7: 1st inj Denosumab after 3y PBO lead to rapid, good suppression. Sustained. #EULAR2013 #osteoporosis",0
Don't say no to pills! Latuda won't kill!,0
@stacymadern thats the prob with Zyprexa its for ppl with Bi-Polar or Schizophrenia its really strong when you wake up your drowsy for 6 hrs,1
@FerryCorsten @FerryCorstenCC #ListenersChoice #CorstensCountdown 313 Zehavi & Rand - Paroxetine (Majera Remix) Hopefully not played :D,0
Vyvanse for work is such a good idea damn,0
? From an #crohnie: have any of u experienced weight gain on humira? And why? Notice u eat more or eat the same but just gaining weight?,0
"Since quetiapine's messed with my prolactin levels, making my boobs humungous & my bras so expensive, I want a lingerie component to DLA.",1
@prozac someday though...,0
"Things I would give up for a #Heat loss tonight: Nicotine, Secret Obsession of Bubble Gum Pop music, TMZ, and The Voice. #NBAPlayoffs",0
According to old attractive actresses all women need to do is eat Activia and take Boniva,0
late night nicotine cravings #lolwut,0
"""@RaeeLovesJays: I wanna stop smoking so bad"" nicotine feen",0
"3) Oh, Will, you poor man, they put you on Effexor. Which, as it happens, is actually an antidepressant. Fact check, guys. #TheNewsroom",0
"@janhopis no, I was (and am) on venlafaxine. I have a non-problematic heart arrhythmia, so I guess that's when it's problematic...",0
Cipro is poison and Big Pharma knows it,0
@willentrekin I had a physician comment it would be better for my seizures if I lived in a medical m. state instead of the lamictal.,0
"@arioch1970 < Seroquel - at high doses its for psychotics at a low dose it helps anxiety, depression & insomnia. 25mg I can finally sleep.",0
@stark3923 cipro has a known warning of weakening the Achilles tendon. ...,1
"treatment:
1) antibiotic therapy: cotrimazole, ciprofloxacin,cephalosporin,amoxycillin",0
Screw you Paxil! You do wonders for anxiety but you make me a ultra lightweight,1
@Anak_Bijak I see you talked about Latuda a while back. I just started on it last week. Has your experience with it been positive?,0
@thinprettybones not everyone gains wt when they quit. Some meds that help you quit (Zyban & Nicotine lozenge) prevent wt gain.#quitsmoking,0
"""The diagnosis of depression didn’t become popular in Japan until Glaxo-SmithKlein got approval to market Paxil in the country."" - Ibid.",0
"@DrJenGunter T3 Many drugs (eg Cymbalta) already approved 4 use in other dxs, but comp's want add'l approval so they can advertise it #hcsm",0
has my seroquel kicked in yet,0
Going to the store for some hypnotic drinks to wash this Seroquel down with ;),0
also my dildo and buttplug which i will probably never use again now that im on lamictal and lithium :|,0
@chubachups it was mega hard. Glad on the up now. Had to agree wiv doc that i went on prozac cus that womem.sucked me.dry until o cracked x,0
Lidocaine is my savior right now! It's the ultimate throat lozenge! #dontsharecigars,0
RT: If you’re using #Humira today. Learn how @Vic_D_x is teaming up to fight back pic.twitter.com/sFPpTOqw #TeamCrohns,0
@Atomic_Moog as long as it's not paroxetine amirite? #fyantidepressanthumour,0
"Marketing Idea: fluoxetine & docusate sodium. Brand Name ""relaxatives""",0
I've got vyvanse for anyone in summer summer school,0
"Also, yay addiction. It's drugs i need for living, but it's still dependance. every time i get a ""paxil headache"" i realize this. oh well.",1
wooooo finally got levaquin!!! so pumped finally I'm gonna get better #monthlongsickness,0
"My rheumatic doc said I could take baclofen and norflex together (both are muscle relaxants). I took both, though an hour apart, earlier...",0
My humira shots need to come NOW. #sosick,0
"@Zymymar it seems to be having an effect already. Took Zoloft in 2000, and Effexor XR in 2006-2008. This was my specific choice.",0
Report: a fixed-dose regimen of dabigatran for ischemic stroke may be ineffective in pts with severe obesity.http://nej.md/11MAcpw ,0
"Oops, thought I had plenty of Pristiq left, realised I actually only have 2 days worth left. Luckily I can go to the pharmacy tomorrow!",0
Why is there a full four-page medical guide for Xarelto tablets in my *TV* guide issue? Somethin' ain't right here.,0
"""@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac."" To bad I hate bananas",0
"Xarelto: Encouraging men to order something new at the diner and take a wrong turn, cuz fuck that.",0
"@diannaeanderson High five! Effexor and therapy have helped with my functioning, my productivity, and at times with my not being dead.",0
Wondered why my limbs ached and I was shivering on the hottest day of the year so far. Forgot my venlafaxine. That'll be withdrawal then!,1
"""Thanks, Enbrel."" -- Phil Mickelson, yesterday around 7PM",0
Is it 630 yet?!? I'm ready for a free dinner and drinks thanks to Effient ,0
I'd appreciate it if i could just sleep for like 2 or 3 days straight. Pop a Trazadone & be out  #iwish,0
@DoctorBlueDream and when I came off Prozac the cycling started again. I would go from being down to being extremely manic and evil >>,0
":'( ""@_DrOnDuty: LOOL ""@Britne__: LAWL RT @PelvisThrustly: Animals are committing suicide. Depression hurts. Cymbalta can help. #TeenWolf""""",0
@AbbyRummage Try Bonivapic.twitter.com/EDOaQiCKRp,0
"@rfdsdoc @traumagasdoc @richardbogle @MDaware @PharmERToxGuy @umanamd esmolol to see if BP will tol, then metoprolol",0
"""Please stop asking me if Enbrel is right for you""  --  Dr. Dre",0
"@pippaliciousj @mamasick I'm going through the same, it's so hard isn't it! Glad to hear about duloxetine .. Started mine a week ago!",0
@AmyBadkin I'm sorry to hear this rheum sistah! Any news on Humira?,0
@Joyster2012 It's not considered a good idea to take valerian with venlafaxine (which I'm on) sadly.,0
I am way too hyper to go home and do nothing tonight :( damn Prozac >.<,1
Let's see what happens when I mix Trazodone with half a bag of chocolate chips.,0
@trishwesley No just going to continue taking my Cipro which helps alleviate some of the pain until I see the neurologist the 25th,0
Don't have to be all deep & emotional every day... Damn. My TL makes me want to pop Xanax or cymbalta or whatever sometimes,0
You know some has has just took their Vyvanse when they favorite 10 or more Vyvanse Swag tweets in one sitting.,0
does fluoxetine (anti-depressant) make you gain weight? id rather be sad then be fat :c,0
"@amyjanesays Yikes, thats scary stuff. I've taken Enbrel b4, been trying other things & havent found anything that works. Thx 4 the heads up",0
#PaulaDeen may have been paid $6 million for her endorsement of Victoza. Drug Maker Suspends Deal With Deen --http://mobile.nytimes.com/2013/06/28/dining/diabetes-drug-maker-suspends-deal-with-deen.html …,0
@dadalife RT @UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.,0
“@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.” @ETaylorX,0
"Depression hurts, Cymbalta can help.",0
"@Get_Out_MyFace It was actually me. PLOT TWIST!!! Now text me back, or I will go into a depression that even cymbalta can't fix",0
"@tramonby Enbrel is a biologic, a drug used to treat RA. It works by reducing active Tumor Necrosis Factor (TNF), which > inflammation.",0
"Still itchy everywhere, but no rash, so, more Lamictal it is.",0
Rivaroxaban 2/2 lower back pain. Not very PC but am crippled by this drug. Taking more paracetamols. Must ring for 'phone consultation.,1
"@Kirkby007 had crap day. Had scope, but had to be stopped as am severely ulcerated. Going back on humira to combo with new drug i on. &",0
@meghaanc we need Starbucks patches like nicotine ones lol,0
@dougmoneybags quetiapine. Very low dose even with increase. Helps me get to sleep (& eat in general) but feel really groggy in the morning,1
That nap was on point.... Cymbalta did that shit cuz I dont take naps...ever,1
Report: a fixed-dose regimen of dabigatran for ischemic stroke may be ineffective in pts with severe obesity. http://nej.md/11MAcpw ,0
Thank you... *takes the lozenge*,0
@IntervalThinks @newscientist Give them Prozac - not!,0
@downunderchick You need seroquel. I have some if you want ;),0
800mg caffeine. 50mg trazodone. 25mg phenergan. Wonder what this will do?,0
“@K_Maaack: Fuck it I'm depressed...” Cymbalta can help.,0
"I AIN'T EVEN FEEL IT YET THO, JUST BARELY TOOK IT.. ALREADY ATE A BIT, AND DRINKING A CALCIUM-ENRICHED SMOOTHIE LOLOL #vyvanse",0
"@helloimmarta @mary_ey @prozac so no liverpool gig? Ok, and uhm, how will we move from town to town? (i'm looking for flights righ now)",0
"Outbreak hipster: ""I was into Levaquin-susceptible methicillin-resistant Staphylococcus aureus before it was cool."" #fuckMRSA #NoOffenseMrsA",0
Smoking can make ur nipples fall off & turn them purple because nicotine & carbon monoxide disrupt the blood flow in nipples @tiffanyhudsonx,0
I wish I could be tired. Shouldn't have taken the vyvanse. Now I'm never sleeping.,1
@Jakefletcha @Becki_65roses Cipro is real bad on your entire body!  Take it from me (on disability since '09 thanks to just 12 pills).,1
Depression hurts cymbalta can help,0
@BruceEricKaplan @JuddApatow is this an ad for Paxil?,0
I now have two weeks off work because of drastic meds change which involves coming off Pristiq cold turkey. Do. Not. Want.,0
LLY_$52.35_results of pre-specified safety analysis from theINTREPID trial evaluating the effect of LIVALO®in HIV-infected with dyslipidemia,0
Depression Hurts. Cymbalta Can Help.,0
Does anyone have a lozenge? *Kam Voice*,0
Vyvanse and Coffee..  I just beat the shit out of that ACT.,0
"@JoshCollett13 @Rods_10 I can get you anything, you need weed, you need Prozac- I know how you white boys get depress, smile your white!",0
@bebipinku only on 40mg of fluoxetine a day omfg,0
I'd rather be on the Effexor that made me happy though I had severe back pain from it.. Than sad and crying for no reason on lexapro....,1
"@Ollerspure They call me dr fluoxetine 
amongst other things",0
"Friends in d medical profession,I just wanted 2 b absolutely certain.If you guys can help me out,Ciprofloxacin is an antibiotic for UTI ryt?",0
This cymbalta commercial on tv right now lmaooo like all they're advertising are the side effects and people still don't care * sigh*,0
“@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.”,0
"@WillsDill heavy metal pumping through the veins! Right on! Or not... I used the nicotine free ones. don't even try lozenges, fuckin gross.",0
"My Motto
Depression Hurts 
Cymbalta Works

Love Fades
Advil's There :D",0
Question time #crohns #ibd #humira does anyone suffer from egg burps? What works for you,1
My vyvanse is kicking in. I can feel it.,0
@DoctorChristian @keirshiels ever heard of NMS with Venlafaxine,0
Anyone taking effexor? And do u drink on it?,0
If I stopped second guessing and doubting I would find I do know this stuff. #ptcb #studying #beautifuloutside #adderall #vyvanse,0
"@britneyspears I love you so, I heard you was BORDERLINE like me... #SEROQUEL",0
Humira can lower your risk to fight infections,0
@spacecowboy2014 I inject Enbrel once a week which helps xx,0
Phil Mickelson is looking pretty good today. He must be filming his next Enbrel commercial. #usopen #arthritis,0
@Paula_Deen  I think this whole thing is out of control. Thanks to you I am on Victoza and doing great.,0
@lobeline @mikedelic yeah I hear you. I'm currently on seroquel too for my most intense crazy (I can tell you so many stories),0
@YesterdaysKid And how does it help? If they r addicted to nicotine (sp?),0
@DoodahM yea he said lamotrigine ( lamitcal) or keppra :p,0
for the love of god if my mom doesn't go to the pharmacy soon im gonna freak out. also someone go get me the patch cuz i need #nicotine,0
RT @UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.,0
"If I could have a drink with a pseudoceleb it would be @johncheese but then I remember that's a bad idea for him. So, maybe like, a lozenge?",0
19.32 day 20 Rivaroxaban diary. Still residual aches and pains; only had 4 paracetamol today.,1
@samledabb i need paroxetine 40mg but I rang the doctor and can get 20mg tomorrow and another box of 20mg thurs so will cling to these!,0
Im bout to slip some of my seroquel into her drink. She gonna be knocked,0
All the medications advertised during news shows sound like they could be the stage names of alien strippers #xarelto,0
“@JakeInRealLife: *batman voice* do you have a lozenge” @lakyn_presler You're gonna miss me,0
@ReachMD’s Dr. Matthew Birnholz interviews top diabetes experts at the INVOKANA booth today. Catch the interviews starting @ 10AM! #2013ADA,0
@dsymons I haven't tried Plaquenil since college. Plus it was before biologics came out. This inspires me to reconsider it w/Enbrel. #rheum,0
Dear lord. Bieber madness hits the town tomorrow. Bring on the Paxil.,0
Who will hook up and who overdoses this week on It's All Gone Fucking Wrong? We will need a couple psychiatrists with unltd Seroquel.,0
if anyone wants vyvanse hmu,0
IPAB asks Controller General of Patents to reconsider Pradaxa patent application. Says product is not new or inventive #India #patents,0
@susanhasas What is DHE - is that another term for Humira? Wow. Glad that helped your migraine!,0
I would love to switch my Zyprexa for Xanax.,0
"Even if someone continues to USE METH, WITH QUETIAPINE, the meth receptors are spared and you don't spiral into lethal depression.",0
I think I would become catatonic if I stopped my olanzapine completely,0
@mjseres doing great. Stopped Humira 6 weeks ago. Patient driving dr. So much better off it. Best in years!  Be well.,0
"""What does Ciprofloxacin treat?"" ""gonorrhea""
""Well I promise I don't have that!"" #medicinecabinet",0
why do I not remember going to bed or waking up (the answer: probably seroquel),1
Hot topic on #obesity pharmacotherapy at #endo2013 and #clinical trials on naltrexone-bupropion and #liraglutide in progress @TheEndoSociety,0
the cymbalta commercial is so depressing,0
"Can six hours be called a nap? o.O Thanks, Enbrel. Um... at least I slept? LOL! Oh, well. This is why I take Mondays off. Writing tomorrow.",0
Depression is real. Cymbalta helps... Lol!,0
"Some people need to lower their ""prozac"" dose! This rainbow & lollipop talk makes me wanna vomit a little... @tanyagodin ...",0
who got the vyvanse hookup need it 4 2moro,0
Not ready to kick the habit? Try nicotine lozenges. They help users cut back even when they thought they didn't want to quit.,0
Bananas contain a natural chemical which can make a person happy. This same chemical is also found in Prozac.,0
"TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers). #TravelSkills",0
"We've updated several of our fact sheets, incl. this one on Adalimumab (Humira®) during #pregnancy /breastfeeding-http://ht.ly/mgFCe  ",0
"Only one day in and Mirtazapine is like fluoxetine all over again, it just makes me so tiered",1
Cymbalta is fuckin expensive damn,0
I wash Vyvanse down with caffeine everyday… but then I can slam a five hour energy.. and you can't..,0
"I hear people at xsport always talking about ""pre workout supplements"" I'm like yea it's called vyvanse baby #endurance",0
"Just about dead, think it's bedtime.. Fuck you quetiapine",1
"@heySMM hey, I take Cymbalta too. We can be Pill Pals!",0
"@david82wilkins Yes definitely ask the doctors then next time, but cipro is a super drug :-)",0
"Ciprofloxacin and levofloxacin use most extensively in children B/C on basis of past experience, these drugs appear to be well tolerated.",0
:'D RT @Cleo04patra: I am the throat lozenge Gwede Mantashe refused.,0
"The day after Humira used to be a great one, full of energy, low pain. After a month, it is now a fatigue filled achy day. #rheum",1
uhm as I take my cymbalta for the first time in months & literally feel my brain exploding lol great sign!!!,0
"@AshleyStites took a vyvanse, feel great now ha",0
"Day has been a right off. Missed opticians&slept aw day. Sitting here torn faced, wi greasy hair&unwashed. Swollen feet thx to olanzapine.",1
I can't sit and listen to more than one Nas song at a time. Nigga be spitting that musical Seroquel,0
"I agree w/ @MarkEiglarsh . She's faking it. they know it, but they're basicly 51/50 ing her. @DrDrewHLN I'm sure the ""medication"" is Zyprexa",0
On Vyvanse so you know I'm feeling good,0
"@LonnieBeats Depression hurts, Cymbalta can help lol",0
Running on nicotine and vodka,0
"TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers). #TravelSkills",0
@rfdsdoc @Damian_Roland Olanzapine being added to policy at @alderheykids - awaiting approval from medicines management (so not incl here),0
"@prosopopoeitic maybe? i need venlafaxine er 75 mg tablets -- there are some numbers here, i'm not sure what they mean",0
no tobacco day OR no nicotine day?,0
"Did one shot of Enbrel, but chose the infusion rather than self injection.  Don't know what he has in mind. Hoping for success. #rheum",0
@thebeecharmer97 @danadelany those r common bacteria species causing sinusitis so if no improvement will need Avelox or Levaquin. :),0
"@phumlanimfeka but none of them are registered with CIPRO, ot can be found online except for your who's who entry? @ulrik_s",0
"@MargoJMilne Yes, I remember some clients having botox for spasms, but usually baclofen or some such.",0
"well, lamotrigine's sorted. although my GP won't increase my citalopram till i get permission from the pysch :c",0
@du_m_pling Internet Lozenge is a registered trademark of Garrett Sand 2011,0
Finish Cipro on Saturday so sods law means it will start raining again on Sunday!,0
"@NellFrizzell @eleanormorgan Oh god. She needs a daily dose of 37.5 mg of venlafaxine for two weeks, administered orally not a word ellie.",0
@crimefish @EverydayAbleism I'm on Quetiapine so can't make early mornings. Oncology give me midday. Why can't ATOS and my psychiatrist? Xx,0
"Trimethoprim-Sulfamethoxazole, Cipro or Macrobid? @LactationJrny @yayayarndiva @NurturedChild  she was full term and otherwise healthy",0
Mom said its okay to take a couple of shots whenever I'm sad if I stop taking PROZAC!,0
Limu lean mixed with a BluFrog mixed with a Vyvanse really makes me feel like I can run a marathon.,0
"Walk 2 blocks down the street, and there's the top of Vatican City... #Cipropic.twitter.com/xGUjL2nTTH",0
"@BurberryWife Sorry you can't do camp this year, that sucks! I hope ur meds get squared away & Lamictal works 4 u. Am the same here",0
"@AmyBadkin yes, Humira pens are large and kind of clunky.  They work well but its a bit of a jab for sure.  I prefer syringes.",0
“@livwrenn: I know when tori take a vyvanse cause she tweets nonstop” that's what I do hahaha fuck,0
Depression medications mirtazapine and fluoxetine may increase a person's risk of developing Clostridium difficile infection (CDI) by as ..,0
I don't understand why people want hookuh pens like when you get addicted to the nicotine I'm gonna laugh,0
@DanieTreg time for quetiapine!,0
time to go back to corpus :D poppin' two vyvanse at the same damn time #swag,0
HOW STELLA GOT HER PAXIL BACK,0
@scoblitz Have you tried Costco pharmacy? Don't  need to be a member & their drugs are insanely cheap. Kid's Lamictal $700 CVS = $23 Costco,0
#BDS &parents MUST IMMEDIATELY BOYCOTT  &stop use of  #ISRAEL COPAXONE®  REBIF® Exelon® DOXIL® Azilect® GONAL ®etanercept- help apartheid,0
"#undermybed giant stash of Seroquel ""samples""",0
"David Wall's Lozenge up first on Northern Wish Radio featuring Gordie  Johnson, Ken Whiteley, Al Cross, Gene Hardy, Kate Fenner, Whiteman",0
Mirtazapine and olanzapine OD may cause drowsiness and small pupils. No response to naloxone #SAMCoventry,0
"@mrnick was getting out of control. I had no idea that coming off it would be so awful. Other than Paroxetine, I thought SSRIs were easy",0
"@JessBarrett227 Taking someone off 150mg off Seroquel, mixing it with Olanzapine in 2 wks causes psychosis - a proper assess was not done.",1
Arse. Late with #quetiapine again. #hopeless,0
“@kissoff8: One Tunes cherry menthol lozenge + one cup of earl grey = homemade menthol tea. Fuck you cold virus.”post pride poorliness? Snap,0
@jimcallisBA @texanfan2785 what college kid isn't on that or Vyvanse,0
Rivaroxaban diary 2/2 ..but not hungry. Has to be taken with food. Only had 1 hot drink and 1 slice of bread so far today,0
07.58 fay 17 Rivaroxaban diary. I reckon it will take 48 hours to get Rvrxbn out of my body. If I can't get hold of GP today may stop it.,0
"Effexor, Sunglasses, Advil, and A Couple Bloody Mary's = Best Hangover Cure",0
A horse walks into a bar and asks for a throat lozenge.,0
Blech!! I think I just burped up a little Prozac!,0
"This #humira is looking good, or rather I should say.. feeling good.",0
Even on paxil I worry when people don't talk to me that they hate me but I know why I have that fear,0
I need a redbull & vyvanse first,0
"Dabigatran is an oral anticoagulant from the class of the direct thrombin inhibitors.
An alternative to warfarin.pic.twitter.com/l66Xb5nzZZ",0
@itsmeh8 Trazodone is sometimes prescribed for sleep :),0
"Goodnight all, Queen #quetiapine is in residence, and she ain't takin no for an answer!",0
"*shudder* Fluoxetine, You taste HORRIBLE.",0
"@hedonism_bot promethazine, they're an atihistamine so I get less of the horrible side effects of quetiapine",0
"My cat won't stop screeching the ""Rains of Castamere"".  She needs prozac badly @PayPal can you fasttrack my money at ALL??? #DepressedCat",0
"@TheEttinauer Even weirder: I haven't taken Paxil in 14 years, but I still feel like that NOW.",0
Oral #Apixaban non-inferior in effectiveness & lowers bleeding c/w warfarin in acute venous thromboembolism #NEJMhttp://www.nejm.org/doi/full/10.1056/NEJMoa1302507?query=featured_home …,0
slutty fluoxetine,0
"@briantrimble3 @DustinVFL As long as they're restrained & have had a relaxation psych cocktail (Haldol/Geodon mixer,etc),yall should be fine",0
@elledub_1920 I can't take trazodone anymore cause I'm up with the baby every few hours. right now I'm mostly concerned with my stress level,0
@erincandy I live with it daily...I take Paxil,0
"Forgot to take my iron supplements, folate supplements and fluoxetine. :( and I just realised.",0
